word_count,sentence_count,avg_sentence_len,avg_word_len,spelling_errors,long_word,exc_count,que_count,stopwords_count,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,fw_count,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,neg_sentiment,neu_sentiment,pos_sentiment,score1,score2,score
392,25,15.68,4.096938776,31,67,0,0,156,176,354,382,90,27,19,68,0,500,74.39,10.7,6.3,9.91,8,6.98,58,5.714285714,14.24463768,2.152,20.72,2.127,5,5,10
295,15,19.66666667,4.250847458,23,64,0,0,114,155,281,290,70,20,13,53,0,395,62.38,12.1,8.9,11.13,10.5,7.42,48,7.166666667,16.33312741,1.012,13.148,0.84,4,4,8
210,9,23.33333333,4.652380952,6,51,0,0,80,70,137,157,62,19,6,31,0,304,49.96,12.5,11.6,13.11,13.9,6.84,26,8.9,15.92502618,0,7.314,1.686,3,3,6
499,24,20.79166667,3.891783567,22,97,0,0,205,191,420,475,113,39,26,91,0,624,69.62,11.3,8.1,8.7,8.9,6.83,64,5.428571429,15.15280899,0.801,20.559,2.64,5,6,11
449,26,17.26923077,3.959910913,22,61,0,2,191,183,383,426,104,26,28,75,0,558,71.85,10.3,7.3,8.41,7.8,6.11,43,5.5,12.74604423,0,22.578,3.422,5,4,9
412,21,19.61904762,3.752427184,13,58,0,1,176,192,365,397,82,30,23,86,0,482,79.5,9.4,6.4,8.06,8,6.72,51,4.875,14.50666667,1.095,16.651,3.254,4,5,9
617,45,13.71111111,3.846029173,35,109,4,6,227,269,551,598,150,27,35,106,0,750,76.42,9.6,5.5,9.27,6.8,6.86,87,4.35,13.41230769,0.959,38.367,5.674,5,5,10
394,25,15.76,3.829949239,25,81,3,3,151,159,319,363,85,26,28,79,0,479,74.39,10.5,6.3,9.62,7.8,6.71,50,4.444444444,13.56229607,0,20.823,4.177,4,4,8
452,26,17.38461538,3.809734513,22,63,0,0,194,195,379,426,103,39,22,83,0,538,81.12,9,5.8,7.89,7,6.44,52,8.7,13.36129032,1.72,22.169,2.109,5,4,9
409,20,20.45,3.995110024,16,73,1,1,167,184,338,380,105,29,11,67,0,516,69.72,11.1,8.1,9.23,9.3,7,57,7.25,15.57253406,0.707,15.258,4.035,4,4,8
576,36,16,3.600694444,34,75,0,3,243,245,519,567,112,20,42,106,0,643,82.24,9,5.4,6.72,5.8,6.23,60,6,12.51247525,0.47,30.758,4.772,5,5,10
574,34,16.88235294,3.557491289,35,83,3,4,199,247,501,554,123,43,39,96,0,660,72.97,10.3,6.9,8.34,7.5,7.17,83,6.357142857,15.11389831,0.247,25.909,7.844,4,6,10
503,30,16.76666667,3.811133201,28,85,3,0,222,213,433,478,108,26,31,82,0,627,73.07,10.1,6.8,7.24,6.5,6.58,63,4.5625,13.60291391,1.4,24.297,4.303,5,5,10
792,36,22,3.977272727,40,140,1,0,318,324,645,752,214,55,32,136,0,962,68.7,10.3,8.5,9.63,10.1,7.13,112,7.333333333,16.16915594,0.669,32.028,3.303,5,5,10
544,26,20.92307692,4.143382353,31,99,0,1,220,238,477,528,130,38,28,93,0,722,68.6,10.5,8.5,8.94,9.6,6.78,70,10.8,15.32268245,0.97,21.258,3.772,4,6,10
485,36,13.47222222,3.606185567,37,56,1,0,209,188,393,441,99,29,28,84,0,568,84.88,8.6,4.4,6.48,4.5,5.79,42,6.285714286,10.68226415,2.241,30.852,2.906,3,5,8
471,28,16.82142857,3.562632696,38,57,1,0,197,212,405,444,103,28,20,84,0,540,81.63,8.9,5.6,5.91,5.4,6.03,44,5.928571429,12.19047619,0,23.841,4.159,4,5,9
404,29,13.93103448,4.103960396,8,84,0,0,145,187,350,389,106,32,14,67,1,522,67.65,10.4,6.8,10.02,7.5,7.51,73,4.625,15.13545455,1.423,21.673,5.905,5,5,10
487,22,22.13636364,3.891170431,14,75,0,0,198,195,410,460,122,29,18,88,0,602,68.1,10.4,8.7,8.36,9.4,6.46,51,12,14.64692483,1.189,17.902,2.909,4,5,9
368,26,14.15384615,4.008152174,13,65,0,1,151,168,311,346,83,27,24,66,0,476,75.4,10.3,5.9,8.22,6.4,6.7,51,4.666666667,13.26457831,0,22.126,3.874,4,4,8
458,34,13.47058824,3.816593886,8,66,0,0,161,183,334,389,120,26,22,76,0,562,76.72,9.5,5.4,8.51,6.2,6.35,53,3.7,12.03589744,0,29.442,4.558,4,4,8
312,13,24,4.086538462,18,53,1,0,124,174,302,309,72,23,17,62,0,389,66.57,12.1,9.3,9.75,11.3,7.3,46,8.7,17.17142857,0.405,11.38,1.215,5,4,9
354,21,16.85714286,3.457627119,22,31,0,0,131,161,302,338,91,25,20,66,0,397,82.44,8.1,5.3,6.84,5.8,6.35,38,4.277777778,12.76361204,2.092,17.319,1.589,4,4,8
481,25,19.24,3.918918919,34,83,0,0,181,216,428,470,122,26,30,87,0,594,71.24,11.5,7.5,8.99,8.6,6.71,60,7,14.43375887,2.094,21.487,1.418,5,4,9
500,23,21.73913043,4.002,36,74,0,0,234,186,399,446,104,32,21,88,0,613,68.4,10.6,8.6,8.88,9.7,6.32,49,7.083333333,14.19718062,0.641,18.479,3.878,4,5,9
267,11,24.27272727,3.928838951,28,41,0,0,100,144,242,259,71,17,9,49,0,331,64.24,11.4,10.2,9.29,11.8,7.47,40,9,18.24268908,0,10.885,0.115,4,4,8
634,34,18.64705882,3.619873817,21,75,0,4,261,249,550,610,134,50,43,104,0,725,80.51,8.8,6,7.65,7.1,6.43,69,10.4,13.48570384,3.572,27.6,2.829,5,4,9
531,30,17.7,3.917137476,20,99,0,3,210,248,473,514,142,35,22,76,0,656,73.07,10.6,6.8,9.74,8.5,7.66,94,7.333333333,16.34022075,1.523,24.21,4.267,5,5,10
466,27,17.25925926,4.0472103,11,82,0,1,184,205,394,441,109,35,36,86,0,593,73.07,10.5,6.8,9.68,8.5,7.28,75,5.571428571,15.37496333,3.36,22.364,1.278,4,4,8
425,26,16.34615385,3.687058824,15,49,0,0,173,193,361,400,95,27,14,85,0,488,82.14,8.8,5.4,6.89,6,6.19,44,4.875,12.45608466,2.805,22.202,0.993,4,4,8
895,42,21.30952381,3.944134078,42,156,1,0,321,333,730,850,243,64,38,155,0,1109,61.97,11.1,9,10.44,10.1,6.78,109,6.666666667,14.82440053,0.822,35.784,5.394,5,5,10
304,24,12.66666667,3.674342105,18,50,0,4,84,152,276,299,78,27,12,50,0,356,69.79,9.2,6,9.6,6.6,7.41,50,3.9,14.29875519,1.115,18.123,4.762,4,4,8
465,31,15,3.701075269,32,61,1,1,187,213,409,443,131,27,16,68,0,546,75.2,9.3,6,7.41,5.8,6.32,52,4,12.36129032,0.423,27.441,3.136,4,4,8
421,28,15.03571429,3.610451306,47,59,0,1,144,209,385,413,119,27,15,66,0,493,75.71,9.7,5.8,8.28,6.3,7.15,64,4.555555556,14.33524355,0.477,23.808,3.715,5,4,9
361,21,17.19047619,4.027700831,16,62,0,0,122,164,292,324,94,22,28,76,2,425,73.58,10.5,6.6,10.49,8.9,6.47,41,6,13.18201954,1.392,17.713,1.896,4,5,9
583,29,20.10344828,3.953687822,26,106,0,1,212,251,499,561,156,39,20,84,0,746,63.19,12.1,8.5,10.44,9.6,7.61,99,8,16.58387097,0.324,25.705,2.971,6,5,11
732,33,22.18181818,3.878415301,45,97,1,0,342,264,602,695,134,44,64,145,0,859,76.96,10.3,7.4,8.76,9.5,6.02,58,6.833333333,13.42578053,1.153,29.929,1.918,5,4,9
232,11,21.09090909,3.767241379,28,33,0,0,101,117,198,219,57,11,8,37,0,278,77.47,11,7.2,7.37,8.1,6.31,23,6.666666667,14.02095238,0.108,9.794,1.098,3,3,6
461,21,21.95238095,3.90021692,16,82,0,2,183,222,420,453,121,22,16,79,0,567,69.21,11,8.3,9.92,10.1,7.36,70,5.785714286,16.61289673,0.505,17.932,2.563,5,5,10
402,18,22.33333333,3.768656716,19,47,0,1,190,168,336,378,75,26,30,83,0,481,77.37,10.7,7.2,7.31,8.1,6.1,35,8.5,13.51561644,0.535,15,2.464,4,4,8
294,27,10.88888889,4.037414966,11,48,0,0,105,130,238,274,64,20,16,57,0,377,70.19,9.3,5.9,8.56,5.5,6.31,36,2.958333333,11.39984556,0.278,21.23,5.493,4,4,8
491,17,28.88235294,3.873727088,42,67,0,0,243,148,337,408,98,23,51,91,0,611,60.89,13.4,11.5,9,13.2,6.69,47,10.4,17.17179724,0.498,15.571,0.931,4,4,8
413,26,15.88461538,3.651331719,13,54,2,6,168,193,368,399,80,23,24,75,0,470,83.96,8.9,4.7,7.35,5.6,6.26,45,4.055555556,12.13617978,0.356,21.772,3.872,4,4,8
627,37,16.94594595,3.807017544,40,102,0,0,228,247,514,584,170,47,33,114,0,773,65.62,10.3,7.6,9.85,8.1,7.18,94,5.857142857,14.8568906,5.031,29.703,2.265,5,4,9
630,36,17.5,3.784126984,25,104,4,3,198,266,522,594,174,38,35,109,0,755,65.83,10.2,7.5,10.26,8.4,7.15,92,5.0625,14.71953307,1.765,30.978,3.257,6,5,11
509,37,13.75675676,3.620825147,18,66,1,2,196,176,390,461,122,32,19,83,0,585,85.28,8.8,4.2,6.36,4.4,5.55,38,3.272727273,9.968071749,2.775,29.542,4.683,5,4,9
355,24,14.79166667,3.901408451,20,56,0,2,135,161,301,335,71,30,16,76,0,431,75.4,9.6,5.9,8.86,6.9,6.7,47,4.444444444,13.26379085,3.278,18.135,2.586,4,4,8
512,42,12.19047619,3.7109375,38,73,0,1,196,245,463,501,106,39,24,84,0,612,77.53,8.6,5.1,6.77,4.4,6.83,76,3.8,13.0205765,4.196,33.867,3.938,5,5,10
425,27,15.74074074,4.063529412,25,87,3,3,160,215,389,414,101,32,23,75,0,535,66.13,10.2,7.4,10.32,8.3,7.06,64,5.857142857,14.39652174,0.587,21.492,4.922,5,5,10
490,30,16.33333333,3.697959184,28,83,1,2,195,221,422,465,109,31,24,86,0,612,73.98,10.2,6.5,7.71,6.4,6.87,68,5,14.08,0.362,26.577,3.061,4,5,9
401,21,19.0952381,4.042394015,26,65,5,2,164,208,376,393,96,25,25,75,0,512,71.04,11.1,7.6,9.05,8.8,6.98,57,5.571428571,15.17333333,1.878,17.438,1.683,5,4,9
300,14,21.42857143,3.523333333,10,35,0,0,121,131,248,275,77,18,14,55,0,332,80.41,9.5,6.1,7.02,6.6,6.03,26,7.083333333,12.49544402,0.749,10.729,2.522,4,4,8
440,24,18.33333333,3.938636364,24,74,10,3,163,214,399,419,105,26,14,83,0,542,72.16,10.8,7.2,9.45,8.5,7.1,65,5.642857143,15.17083333,0.36,20.691,2.949,4,4,8
435,25,17.4,4.04137931,46,80,0,0,186,169,326,381,105,37,32,84,0,559,72.46,11.5,7.1,8.93,7.9,6.35,48,5.285714286,13.17795918,2.244,20.452,2.304,4,4,8
359,21,17.0952381,4.337047354,19,86,0,0,141,168,304,329,91,25,16,57,1,493,64.51,11.5,8,11.01,9.6,7.5,63,4.888888889,15.955,0.102,18.618,2.28,4,4,8
447,19,23.52631579,4.080536913,18,69,0,0,199,188,388,427,106,28,22,82,0,568,66.27,11.6,9.4,8.65,10.5,6.32,42,7.75,14.76819277,0.995,16.01,1.996,4,4,8
336,12,28,4.130952381,12,49,0,0,155,164,302,326,77,29,13,69,0,431,61.8,11.9,11.1,9,12.8,7.15,44,12.5,18.08509554,0.225,9.784,1.991,4,4,8
416,15,27.73333333,3.870192308,20,69,0,0,189,203,379,406,89,25,20,83,1,509,63.32,11.7,10.6,8.88,11.9,7.42,60,6.583333333,18.36648649,1.804,12.116,1.081,4,4,8
398,10,39.8,3.610552764,21,55,0,1,158,144,267,314,101,23,10,73,0,451,58.59,12.7,14.5,8.89,18.2,7.6,45,15.83333333,22.38973451,0.177,8.556,1.267,4,4,8
272,13,20.92307692,3.768382353,19,43,0,0,108,138,244,262,70,7,15,47,0,319,71.65,10.1,7.4,9.1,8.5,7.19,40,7,15.52640693,0.457,11.333,1.21,4,3,7
333,17,19.58823529,3.978978979,13,59,0,0,141,169,304,325,85,19,25,60,0,424,70.43,11.9,7.8,8.52,8.6,6.61,40,5.785714286,14.39561462,0.229,14.329,2.442,4,4,8
561,31,18.09677419,3.754010695,37,86,10,2,206,248,480,538,127,51,33,92,0,656,72.26,10.3,7.1,8.81,8,6.7,69,5.857142857,14.13405858,0.642,23.774,6.584,5,5,10
167,13,12.84615385,3.568862275,11,20,0,0,70,99,155,163,33,8,12,32,0,188,85.28,8.6,4.2,5.55,3.8,5.59,13,4.166666667,10.07351351,0.389,10.566,2.045,3,3,6
432,23,18.7826087,3.773148148,24,62,2,1,187,176,358,405,90,32,22,74,0,519,72.05,9.9,7.2,8.87,8.1,7.03,61,6.666666667,15.01681941,0.056,19.064,3.88,5,4,9
183,6,30.5,4.234972678,10,34,0,0,81,117,179,181,46,12,9,35,0,241,59.98,13.6,11.8,10.28,14.7,8.03,32,12.375,20.81904762,0.127,4.378,1.496,3,3,6
210,9,23.33333333,4.471428571,51,48,0,0,68,140,205,208,64,23,8,28,0,294,60.35,12.3,9.6,11.55,11.6,8.85,52,6.357142857,20.49720207,0,7.965,1.035,4,3,7
411,21,19.57142857,3.491484185,19,38,0,0,178,200,382,405,83,26,24,75,0,454,87.55,8.1,5.4,5.68,6.2,6.05,36,5.928571429,12.91304348,1.965,16.317,2.718,4,4,8
600,23,26.08695652,4.338333333,32,139,0,1,225,271,528,578,157,59,26,110,0,846,48.13,14.2,12.3,12.25,13.8,8.18,114,8.1,19.82003781,0.062,18.589,4.349,6,6,12
470,36,13.05555556,4.1,19,83,0,0,159,214,419,455,127,26,26,78,0,609,68.47,10,6.5,10.13,7.4,7.16,76,5.4375,14.02617284,0.517,29.483,6.001,5,5,10
292,19,15.36842105,3.969178082,11,45,1,0,124,147,272,288,67,21,13,51,0,361,73.37,9.6,6.7,7.88,6.9,6.44,35,7.583333333,13.16344569,0.236,15.879,2.885,4,4,8
211,6,35.16666667,3.777251185,24,20,0,0,98,124,196,205,43,18,5,43,0,257,62.35,11.5,13,6.16,14.1,7.18,24,15.83333333,20.30588235,0.178,5.181,0.641,4,3,7
436,32,13.625,3.75,21,69,0,1,149,167,347,407,121,22,16,75,1,521,76.72,9,5.4,8.22,6,6.73,59,5.5,12.99566396,0.905,28.032,3.063,5,4,9
571,28,20.39285714,3.739054291,33,84,2,1,223,226,463,533,133,54,29,93,0,707,62.88,11.4,8.7,10.03,9.4,7.22,82,8,15.6987234,0.736,24.4,2.863,5,5,10
431,19,22.68421053,3.88863109,18,66,0,0,193,180,359,396,92,19,24,88,0,531,75.34,10.9,8,7.31,9.1,6.14,37,6.916666667,14.16159204,0.358,15.359,3.284,5,5,10
387,23,16.82608696,3.708010336,19,51,0,2,161,166,322,364,76,30,25,85,0,451,81.12,9.9,5.8,7.65,6.8,5.75,29,8.3,11.61176471,3.211,17.689,2.1,4,4,8
733,29,25.27586207,3.923601637,63,101,0,0,305,331,652,718,179,58,43,133,0,894,73.61,10.8,8.7,8.65,10.9,7.08,97,8.7,16.99458647,2.464,24.641,1.895,4,6,10
202,15,13.46666667,3.831683168,9,25,0,0,89,101,170,185,37,9,6,37,0,242,84.57,9.2,4.5,7.29,5.3,6.5,26,4.9375,12.58585635,0.203,11.715,3.081,3,3,6
359,19,18.89473684,3.646239554,20,33,0,0,165,124,262,306,75,28,17,67,0,414,87.25,8,5.5,5.22,6,5.41,19,5.928571429,11.36852071,0.821,17.262,0.917,3,4,7
460,24,19.16666667,4.026086957,22,94,0,1,183,198,391,439,96,28,29,81,0,616,56.05,12.6,9.2,11.53,10.1,7.79,82,7.083333333,16.68892388,1.889,19.839,2.271,5,5,10
159,8,19.875,4.031446541,5,20,0,0,77,98,152,156,40,6,5,28,0,203,69.31,10.4,8.3,7.83,8.3,6.67,20,7.416666667,14.85333333,0.561,7.149,0.29,4,4,8
311,17,18.29411765,3.745980707,3,47,0,0,127,139,252,283,78,30,13,51,0,378,72.36,11.2,7.1,8.29,7.5,6.83,41,5.214285714,14.41665428,1.143,14.215,1.643,4,4,8
285,16,17.8125,3.933333333,22,37,3,4,118,159,266,278,67,19,13,54,0,339,80.51,8.8,6,8.12,7.5,6.03,26,7.833333333,12.47100775,0.353,10.917,4.731,4,3,7
510,37,13.78378378,3.531372549,38,66,9,6,174,207,422,476,119,39,27,90,0,567,76.72,8.8,5.4,7.98,5.8,6.41,58,5.5,12.19036145,1.71,30.057,5.232,5,5,10
487,36,13.52777778,4.123203285,37,94,0,0,160,206,405,459,136,39,25,84,0,640,67.65,10.1,6.8,9.38,7,6.75,69,4.166666667,13.199447,0.198,27.019,8.783,5,5,10
443,22,20.13636364,4.036117381,34,74,0,0,187,169,350,406,92,35,22,82,0,544,77.87,9.8,7,8.36,8.8,6.02,38,8.3,13.16932039,1.312,19.643,1.045,4,4,8
606,39,15.53846154,4.04290429,20,119,3,7,245,234,513,580,129,44,33,107,0,762,74.59,9.7,6.2,9.62,7.7,6.84,85,7,13.84301318,2.189,29.236,7.572,4,5,9
467,19,24.57894737,3.672376874,16,65,0,1,162,170,364,421,131,21,18,98,0,558,67.69,12.2,8.9,9.52,10.5,6.36,42,7.5,14.50108527,0.572,15.267,3.161,5,4,9
379,16,23.6875,3.765171504,15,46,0,2,167,175,342,370,85,25,28,54,0,456,75.13,10.1,8.1,7.43,9.4,6.68,43,7.333333333,15.57457726,0.487,13.366,2.147,4,4,8
421,21,20.04761905,3.909738717,19,62,0,1,177,178,365,404,94,23,20,84,0,523,70.02,10.8,8,8.12,8.5,6.86,56,6.666666667,15.11926509,0,16.185,4.815,4,4,8
139,5,27.8,3.755395683,8,11,0,0,50,76,126,135,30,13,7,29,0,159,71.28,7.6,9.6,7.67,11.2,6.14,10,12.375,15.25460317,0,4.299,0.701,2,2,4
368,20,18.4,3.752717391,21,51,0,0,150,160,311,352,75,24,15,75,0,439,80.01,8.8,6.2,7.13,6.9,6.03,33,7,12.62791541,0.35,17.366,2.284,4,4,8
355,15,23.66666667,3.712676056,21,40,0,1,160,162,316,344,98,15,13,64,0,416,75.13,10.4,8.1,7.14,9.1,6.22,31,5.714285714,14.42292835,0.491,12.787,1.721,4,4,8
423,25,16.92,4.002364066,10,80,0,1,153,203,380,413,105,34,15,75,0,550,65.73,11,7.6,10.14,8.3,7.68,77,4.444444444,16.08484848,0.087,19.685,5.228,5,5,10
539,24,22.45833333,3.649350649,24,61,0,1,242,195,427,497,94,39,39,98,0,610,77.16,9.9,7.3,7.95,8.8,6.36,52,10.3,14.22351931,0.804,20.224,2.972,5,5,10
431,37,11.64864865,3.626450116,32,56,0,4,158,188,366,413,103,28,10,76,0,502,78.45,8.3,4.8,7.28,4.6,6.21,48,2.769230769,11.2092562,2.34,31.566,3.094,4,5,9
350,28,12.5,4.131428571,29,61,0,0,133,181,316,340,78,31,19,71,0,447,77.03,9.3,5.3,8.97,6.4,6.97,55,4.333333333,13.50875399,1.821,22.558,3.621,4,4,8
391,21,18.61904762,4.245524297,13,78,0,0,137,187,340,377,96,43,15,70,0,532,63.09,12.1,8.6,10.79,9.9,7.32,63,7.583333333,15.88137931,0.676,17.144,3.18,4,4,8
246,11,22.36363636,4.008130081,17,49,0,1,87,145,231,243,54,15,14,53,0,314,58.11,11,10.5,10.1,11.6,7.86,43,12.5,18.6,0.384,9.066,1.55,3,3,6
541,30,18.03333333,4.133086876,27,95,0,2,217,233,455,499,122,38,32,108,0,700,71.85,11.1,7.3,9.45,8.7,6.54,65,8.2,13.82612245,3.306,23.36,3.334,6,5,11
367,23,15.95652174,3.809264305,9,60,1,0,155,150,314,353,91,23,18,63,0,449,74.19,10.3,6.4,8,6.6,6.29,40,5.642857143,12.55356037,0.308,18.999,3.693,4,4,8
284,15,18.93333333,3.883802817,28,38,0,0,115,140,247,269,62,20,14,68,0,356,71.24,10.5,7.5,8.12,7.9,6.46,32,5.714285714,13.79937008,1.337,12.471,1.192,4,4,8
481,31,15.51612903,3.856548857,29,72,1,0,212,186,397,459,104,27,23,95,0,605,73.98,9.9,6.5,7.07,5.9,6.1,49,5.25,12.12444444,0.382,24.499,6.118,4,5,9
593,30,19.76666667,3.870151771,34,98,0,2,243,237,522,576,141,37,22,100,0,712,70.73,10.1,7.7,8.7,8.6,6.8,76,8,14.79493282,1.276,26.059,2.665,5,5,10
336,15,22.4,3.651785714,19,23,0,0,149,155,296,324,56,18,22,77,2,374,84.71,8.4,6.5,6.62,8.1,6.1,28,6.071428571,13.80421053,1.299,12.238,1.462,4,4,8
271,17,15.94117647,3.380073801,13,33,4,4,89,128,216,244,70,28,4,51,0,294,82.85,8.1,5.1,5.73,4.6,5.87,23,5,11.45162393,1.264,13.274,2.462,3,4,7
146,11,13.27272727,3.493150685,12,15,0,1,66,75,135,143,31,3,5,28,0,164,85.08,9.3,4.3,5.32,3.7,5.82,13,5.1875,10.7025,0.048,9.654,1.298,3,3,6
330,11,30,3.936363636,22,44,0,0,126,155,282,319,100,30,24,57,0,403,61.19,11,11.4,9.23,13.3,6.68,32,8.9,17.05898305,1.114,8.725,1.162,4,4,8
251,18,13.94444444,3.87250996,9,28,0,0,114,129,225,242,46,13,20,52,0,308,83.86,9.2,4.7,6.89,5.3,6.06,26,4.9375,11.64173913,0.26,15.124,2.617,3,3,6
534,29,18.4137931,3.95505618,35,101,10,4,211,242,476,516,127,34,29,88,0,680,71.95,11.3,7.2,9.16,8.4,7.49,91,5.928571429,16.20823779,0.581,25.204,3.216,5,5,10
417,27,15.44444444,3.736211031,15,50,1,1,186,162,328,384,87,21,13,80,0,484,82.34,9.7,5.3,7.18,6.1,5.45,26,5.571428571,10.5232345,1.58,24.012,1.407,4,4,8
413,19,21.73684211,4.176755448,29,73,0,0,146,140,279,327,127,34,10,75,0,580,59.74,13.1,9.9,9.69,10.4,6.08,35,7,13.6539314,0.34,14.481,4.178,4,4,8
363,19,19.10526316,4.071625344,13,68,0,0,138,166,307,337,101,25,21,60,0,486,62.98,12.3,8.6,10.21,9.5,7.15,54,8.6,15.47245283,0.41,17.444,1.146,4,4,8
415,28,14.82142857,3.686746988,23,62,0,4,177,202,380,407,77,27,29,82,0,504,75.1,10,6,6.71,5.3,6.61,54,7,13.12555858,1.183,23.6,3.216,4,4,8
384,23,16.69565217,3.890625,27,55,0,0,164,167,310,358,99,21,22,67,0,459,81.33,9.3,5.7,7.36,6.7,6.28,42,5.1875,12.90632479,0.132,19.619,3.248,5,5,10
424,18,23.55555556,3.726415094,35,53,2,1,173,198,390,420,97,34,35,70,0,490,76.05,10.4,7.7,8.3,9.6,6.71,48,8.8,15.40325203,1.5,14.954,1.546,4,4,8
514,28,18.35714286,3.994163424,40,77,0,1,211,262,477,507,119,34,27,95,0,645,71.55,10.6,7.4,8.81,8.3,7.05,76,6.214285714,15.19172414,1.222,23.215,3.564,5,4,9
345,19,18.15789474,3.608695652,20,39,0,0,124,156,306,339,88,18,21,65,0,394,80.72,9.1,6,7.02,6.5,6.2,34,6.285714286,12.84844884,0.38,15.695,2.925,3,4,7
235,4,58.75,3.34893617,5,19,2,0,89,123,200,215,76,15,14,36,0,262,39.17,11.7,19.8,8.32,22.9,8.16,26,16.66666667,26.76082474,0.178,3.56,0.262,3,3,6
682,32,21.3125,3.750733138,43,77,0,0,293,297,602,664,134,44,54,124,0,779,77.77,9.2,7.1,7.25,7.9,6.2,64,6.916666667,13.65570275,0.353,27.072,4.574,6,5,11
268,12,22.33333333,3.615671642,9,41,0,0,120,97,183,206,62,8,9,43,0,316,78.38,9.5,6.8,7.2,7.6,6.14,24,11.875,13.33063291,0,10.297,1.703,4,4,8
146,9,16.22222222,3.643835616,5,28,0,0,58,88,132,137,34,7,15,20,0,177,62.68,12.3,8.7,9.63,9.2,7.93,26,6.666666667,17.5394958,0.586,8.026,0.388,4,4,8
