word_count,sentence_count,avg_sentence_len,avg_word_len,long_word,stopwords_count,exc_count,que_count,comma_count,spelling_errors,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,fw_count,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog,difficult_words,neg_sentiment,neu_sentiment,pos_sentiment,cohesion,score1,score2,score
471,28,16.82142857,3.562632696,57,197,1,0,10,38,212,405,444,103,28,20,84,0,540,81.63,8.9,5.6,5.91,5.4,6.03,5.928571429,12.19047619,44,0,23.841,4.159,5.104513064,4,5,9
404,29,13.93103448,4.103960396,84,145,0,0,14,8,187,350,389,106,32,14,67,1,522,67.65,10.4,6.8,10.02,7.5,7.51,4.625,15.13545455,73,1.423,21.673,5.905,5.864022663,5,5,10
487,22,22.13636364,3.891170431,75,198,0,0,9,14,195,410,460,122,29,18,88,0,602,68.1,10.4,8.7,8.36,9.4,6.46,12,14.64692483,51,1.189,17.902,2.909,5.435079727,4,5,9
368,26,14.15384615,4.008152174,65,151,0,1,8,13,168,311,346,83,27,24,66,0,476,75.4,10.3,5.9,8.22,6.4,6.7,4.666666667,13.26457831,51,0,22.126,3.874,5.59939759,4,4,8
458,34,13.47058824,3.816593886,66,161,0,0,13,8,183,334,389,120,26,22,76,0,562,76.72,9.5,5.4,8.51,6.2,6.35,3.7,12.03589744,53,0,29.442,4.558,5.674358974,4,4,8
312,13,24,4.086538462,53,124,1,0,6,18,174,302,309,72,23,17,62,0,389,66.57,12.1,9.3,9.75,11.3,7.3,8.7,17.17142857,46,0.405,11.38,1.215,5.669039146,5,4,9
354,21,16.85714286,3.457627119,31,131,0,0,6,22,161,302,338,91,25,20,66,0,397,82.44,8.1,5.3,6.84,5.8,6.35,4.277777778,12.76361204,38,2.092,17.319,1.589,5.277591973,4,4,8
481,25,19.24,3.918918919,83,181,0,0,15,34,216,428,470,122,26,30,87,0,594,71.24,11.5,7.5,8.99,8.6,6.71,7,14.43375887,60,2.094,21.487,1.418,5.608490566,5,4,9
500,23,21.73913043,4.002,74,234,0,0,12,36,186,399,446,104,32,21,88,0,613,68.4,10.6,8.6,8.88,9.7,6.32,7.083333333,14.19718062,49,0.641,18.479,3.878,5.479302832,4,5,9
267,11,24.27272727,3.928838951,41,100,0,0,12,28,144,242,259,71,17,9,49,0,331,64.24,11.4,10.2,9.29,11.8,7.47,9,18.24268908,40,0,10.885,0.115,5.56302521,4,4,8
634,34,18.64705882,3.619873817,75,261,0,4,25,21,249,550,610,134,50,43,104,0,725,80.51,8.8,6,7.65,7.1,6.43,10.4,13.48570384,69,3.572,27.6,2.829,5.358834244,5,4,9
531,30,17.7,3.917137476,99,210,0,3,18,20,248,473,514,142,35,22,76,0,656,73.07,10.6,6.8,9.74,8.5,7.66,7.333333333,16.34022075,94,1.523,24.21,4.267,5.774834437,5,5,10
466,27,17.25925926,4.0472103,82,184,0,1,26,11,205,394,441,109,35,36,86,0,593,73.07,10.5,6.8,9.68,8.5,7.28,5.571428571,15.37496333,75,3.36,22.364,1.278,5.789731051,4,4,8
425,26,16.34615385,3.687058824,49,173,0,0,7,15,193,361,400,95,27,14,85,0,488,82.14,8.8,5.4,6.89,6,6.19,4.875,12.45608466,44,2.805,22.202,0.993,5.263157895,4,4,8
895,42,21.30952381,3.944134078,156,321,1,0,41,42,333,730,850,243,64,38,155,0,1109,61.97,11.1,9,10.44,10.1,6.78,6.666666667,14.82440053,109,0.822,35.784,5.394,5.787760417,5,5,10
304,24,12.66666667,3.674342105,50,84,0,4,11,18,152,276,299,78,27,12,50,0,356,69.79,9.2,6,9.6,6.6,7.41,3.9,14.29875519,50,1.115,18.123,4.762,5.917012448,4,4,8
465,31,15,3.701075269,61,187,1,1,16,32,213,409,443,131,27,16,68,0,546,75.2,9.3,6,7.41,5.8,6.32,4,12.36129032,52,0.423,27.441,3.136,5.444168734,4,4,8
421,28,15.03571429,3.610451306,59,144,0,1,12,47,209,385,413,119,27,15,66,0,493,75.71,9.7,5.8,8.28,6.3,7.15,4.555555556,14.33524355,64,0.477,23.808,3.715,5.578347578,5,4,9
361,21,17.19047619,4.027700831,62,122,0,0,18,16,164,292,324,94,22,28,76,2,425,73.58,10.5,6.6,10.49,8.9,6.47,6,13.18201954,41,1.392,17.713,1.896,5.905844156,4,5,9
583,29,20.10344828,3.953687822,106,212,0,1,36,26,251,499,561,156,39,20,84,0,746,63.19,12.1,8.5,10.44,9.6,7.61,8,16.58387097,99,0.324,25.705,2.971,5.80239521,6,5,11
732,33,22.18181818,3.878415301,97,342,1,0,25,45,264,602,695,134,44,64,145,0,859,76.96,10.3,7.4,8.76,9.5,6.02,6.833333333,13.42578053,58,1.153,29.929,1.918,5.489230769,5,4,9
232,11,21.09090909,3.767241379,33,101,0,0,8,28,117,198,219,57,11,8,37,0,278,77.47,11,7.2,7.37,8.1,6.31,6.666666667,14.02095238,23,0.108,9.794,1.098,5.280952381,3,3,6
461,21,21.95238095,3.90021692,82,183,0,2,24,16,222,420,453,121,22,16,79,0,567,69.21,11,8.3,9.92,10.1,7.36,5.785714286,16.61289673,70,0.505,17.932,2.563,5.703517588,5,5,10
402,18,22.33333333,3.768656716,47,190,0,1,4,19,168,336,378,75,26,30,83,0,481,77.37,10.7,7.2,7.31,8.1,6.1,8.5,13.51561644,35,0.535,15,2.464,5.234972678,4,4,8
294,27,10.88888889,4.037414966,48,105,0,0,0,11,130,238,274,64,20,16,57,0,377,70.19,9.3,5.9,8.56,5.5,6.31,2.958333333,11.39984556,36,0.278,21.23,5.493,5.683206107,4,4,8
491,17,28.88235294,3.873727088,67,243,0,0,26,42,148,337,408,98,23,51,91,0,611,60.89,13.4,11.5,9,13.2,6.69,10.4,17.17179724,47,0.498,15.571,0.931,5.520737327,4,4,8
413,26,15.88461538,3.651331719,54,168,2,6,20,13,193,368,399,80,23,24,75,0,470,83.96,8.9,4.7,7.35,5.6,6.26,4.055555556,12.13617978,45,0.356,21.772,3.872,5.343490305,4,4,8
627,37,16.94594595,3.807017544,102,228,0,0,29,40,247,514,584,170,47,33,114,0,773,65.62,10.3,7.6,9.85,8.1,7.18,5.857142857,14.8568906,94,5.031,29.703,2.265,5.795019157,5,4,9
630,36,17.5,3.784126984,104,198,4,3,30,25,266,522,594,174,38,35,109,0,755,65.83,10.2,7.5,10.26,8.4,7.15,5.0625,14.71953307,92,1.765,30.978,3.257,5.883495146,6,5,11
509,37,13.75675676,3.620825147,66,196,1,2,22,18,176,390,461,122,32,19,83,0,585,85.28,8.8,4.2,6.36,4.4,5.55,3.272727273,9.968071749,38,2.775,29.542,4.683,5.265033408,5,4,9
355,24,14.79166667,3.901408451,56,135,0,2,8,20,161,301,335,71,30,16,76,0,431,75.4,9.6,5.9,8.86,6.9,6.7,4.444444444,13.26379085,47,3.278,18.135,2.586,5.679738562,4,4,8
512,42,12.19047619,3.7109375,73,196,0,1,4,38,245,463,501,106,39,24,84,0,612,77.53,8.6,5.1,6.77,4.4,6.83,3.8,13.0205765,76,4.196,33.867,3.938,5.379157428,5,5,10
425,27,15.74074074,4.063529412,87,160,3,3,18,25,215,389,414,101,32,23,75,0,535,66.13,10.2,7.4,10.32,8.3,7.06,5.857142857,14.39652174,64,0.587,21.492,4.922,5.802139037,5,5,10
490,30,16.33333333,3.697959184,83,195,1,2,19,28,221,422,465,109,31,24,86,0,612,73.98,10.2,6.5,7.71,6.4,6.87,5,14.08,68,0.362,26.577,3.061,5.419203747,4,5,9
401,21,19.0952381,4.042394015,65,164,5,2,7,26,208,376,393,96,25,25,75,0,512,71.04,11.1,7.6,9.05,8.8,6.98,5.571428571,15.17333333,57,1.878,17.438,1.683,5.633333333,5,4,9
300,14,21.42857143,3.523333333,35,121,0,0,13,10,131,248,275,77,18,14,55,0,332,80.41,9.5,6.1,7.02,6.6,6.03,7.083333333,12.49544402,26,0.749,10.729,2.522,5.233716475,4,4,8
440,24,18.33333333,3.938636364,74,163,10,3,23,24,214,399,419,105,26,14,83,0,542,72.16,10.8,7.2,9.45,8.5,7.1,5.642857143,15.17083333,65,0.36,20.691,2.949,5.622739018,4,4,8
435,25,17.4,4.04137931,80,186,0,0,0,46,169,326,381,105,37,32,84,0,559,72.46,11.5,7.1,8.93,7.9,6.35,5.285714286,13.17795918,48,2.244,20.452,2.304,5.612244898,4,4,8
359,21,17.0952381,4.337047354,86,141,0,0,13,19,168,304,329,91,25,16,57,1,493,64.51,11.5,8,11.01,9.6,7.5,4.888888889,15.955,63,0.102,18.618,2.28,6.009375,4,4,8
447,19,23.52631579,4.080536913,69,199,0,0,2,18,188,388,427,106,28,22,82,0,568,66.27,11.6,9.4,8.65,10.5,6.32,7.75,14.76819277,42,0.995,16.01,1.996,5.491566265,4,4,8
336,12,28,4.130952381,49,155,0,0,3,12,164,302,326,77,29,13,69,0,431,61.8,11.9,11.1,9,12.8,7.15,12.5,18.08509554,44,0.225,9.784,1.991,5.515923567,4,4,8
416,15,27.73333333,3.870192308,69,189,0,0,13,20,203,379,406,89,25,20,83,1,509,63.32,11.7,10.6,8.88,11.9,7.42,6.583333333,18.36648649,60,1.804,12.116,1.081,5.486486486,4,4,8
398,10,39.8,3.610552764,55,158,0,1,14,21,144,267,314,101,23,10,73,0,451,58.59,12.7,14.5,8.89,18.2,7.6,15.83333333,22.38973451,45,0.177,8.556,1.267,5.448377581,4,4,8
272,13,20.92307692,3.768382353,43,108,0,0,17,19,138,244,262,70,7,15,47,0,319,71.65,10.1,7.4,9.1,8.5,7.19,7,15.52640693,40,0.457,11.333,1.21,5.566523605,4,3,7
333,17,19.58823529,3.978978979,59,141,0,0,6,13,169,304,325,85,19,25,60,0,424,70.43,11.9,7.8,8.52,8.6,6.61,5.785714286,14.39561462,40,0.229,14.329,2.442,5.531561462,4,4,8
561,31,18.09677419,3.754010695,86,206,10,2,19,37,248,480,538,127,51,33,92,0,656,72.26,10.3,7.1,8.81,8,6.7,5.857142857,14.13405858,69,0.642,23.774,6.584,5.561586639,5,5,10
167,13,12.84615385,3.568862275,20,70,0,0,2,11,99,155,163,33,8,12,32,0,188,85.28,8.6,4.2,5.55,3.8,5.59,4.166666667,10.07351351,13,0.389,10.566,2.045,5.189189189,3,3,6
432,23,18.7826087,3.773148148,62,187,2,1,22,24,176,358,405,90,32,22,74,0,519,72.05,9.9,7.2,8.87,8.1,7.03,6.666666667,15.01681941,61,0.056,19.064,3.88,5.528,5,4,9
183,6,30.5,4.234972678,34,81,0,0,4,10,117,179,181,46,12,9,35,0,241,59.98,13.6,11.8,10.28,14.7,8.03,12.375,20.81904762,32,0.127,4.378,1.496,5.727810651,3,3,6
210,9,23.33333333,4.471428571,48,68,0,0,6,51,140,205,208,64,23,8,28,0,294,60.35,12.3,9.6,11.55,11.6,8.85,6.357142857,20.49720207,52,0,7.965,1.035,5.903061224,4,3,7
411,21,19.57142857,3.491484185,38,178,0,0,12,19,200,382,405,83,26,24,75,0,454,87.55,8.1,5.4,5.68,6.2,6.05,5.928571429,12.91304348,36,1.965,16.317,2.718,5.04076087,4,4,8
600,23,26.08695652,4.338333333,139,225,0,1,26,32,271,528,578,157,59,26,110,0,846,48.13,14.2,12.3,12.25,13.8,8.18,8.1,19.82003781,114,0.062,18.589,4.349,6.075614367,6,6,12
470,36,13.05555556,4.1,83,159,0,0,20,19,214,419,455,127,26,26,78,0,609,68.47,10,6.5,10.13,7.4,7.16,5.4375,14.02617284,76,0.517,29.483,6.001,5.904645477,5,5,10
292,19,15.36842105,3.969178082,45,124,1,0,5,11,147,272,288,67,21,13,51,0,361,73.37,9.6,6.7,7.88,6.9,6.44,7.583333333,13.16344569,35,0.236,15.879,2.885,5.436567164,4,4,8
211,6,35.16666667,3.777251185,20,98,0,0,0,24,124,196,205,43,18,5,43,0,257,62.35,11.5,13,6.16,14.1,7.18,15.83333333,20.30588235,24,0.178,5.181,0.641,4.950980392,4,3,7
436,32,13.625,3.75,69,149,0,1,11,21,167,347,407,121,22,16,75,1,521,76.72,9,5.4,8.22,6,6.73,5.5,12.99566396,59,0.905,28.032,3.063,5.62601626,5,4,9
571,28,20.39285714,3.739054291,84,223,2,1,42,33,226,463,533,133,54,29,93,0,707,62.88,11.4,8.7,10.03,9.4,7.22,8,15.6987234,82,0.736,24.4,2.863,5.742071882,5,5,10
431,19,22.68421053,3.88863109,66,193,0,0,6,18,180,359,396,92,19,24,88,0,531,75.34,10.9,8,7.31,9.1,6.14,6.916666667,14.16159204,37,0.358,15.359,3.284,5.276119403,5,5,10
387,23,16.82608696,3.708010336,51,161,0,2,13,19,166,322,364,76,30,25,85,0,451,81.12,9.9,5.8,7.65,6.8,5.75,8.3,11.61176471,29,3.211,17.689,2.1,5.388235294,4,4,8
733,29,25.27586207,3.923601637,101,305,0,0,3,63,331,652,718,179,58,43,133,0,894,73.61,10.8,8.7,8.65,10.9,7.08,8.7,16.99458647,97,2.464,24.641,1.895,5.448120301,4,6,10
202,15,13.46666667,3.831683168,25,89,0,0,6,9,101,170,185,37,9,6,37,0,242,84.57,9.2,4.5,7.29,5.3,6.5,4.9375,12.58585635,26,0.203,11.715,3.081,5.39010989,3,3,6
359,19,18.89473684,3.646239554,33,165,0,0,2,20,124,262,306,75,28,17,67,0,414,87.25,8,5.5,5.22,6,5.41,5.928571429,11.36852071,19,0.821,17.262,0.917,4.940828402,3,4,7
460,24,19.16666667,4.026086957,94,183,0,1,34,22,198,391,439,96,28,29,81,0,616,56.05,12.6,9.2,11.53,10.1,7.79,7.083333333,16.68892388,82,1.889,19.839,2.271,6.054830287,5,5,10
159,8,19.875,4.031446541,20,77,0,0,1,5,98,152,156,40,6,5,28,0,203,69.31,10.4,8.3,7.83,8.3,6.67,7.416666667,14.85333333,20,0.561,7.149,0.29,5.333333333,4,4,8
311,17,18.29411765,3.745980707,47,127,0,0,11,3,139,252,283,78,30,13,51,0,378,72.36,11.2,7.1,8.29,7.5,6.83,5.214285714,14.41665428,41,1.143,14.215,1.643,5.462962963,4,4,8
285,16,17.8125,3.933333333,37,118,3,4,4,22,159,266,278,67,19,13,54,0,339,80.51,8.8,6,8.12,7.5,6.03,7.833333333,12.47100775,26,0.353,10.917,4.731,5.445736434,4,3,7
510,37,13.78378378,3.531372549,66,174,9,6,21,38,207,422,476,119,39,27,90,0,567,76.72,8.8,5.4,7.98,5.8,6.41,5.5,12.19036145,58,1.71,30.057,5.232,5.48463357,5,5,10
487,36,13.52777778,4.123203285,94,160,0,0,8,37,206,405,459,136,39,25,84,0,640,67.65,10.1,6.8,9.38,7,6.75,4.166666667,13.199447,69,0.198,27.019,8.783,5.741418764,5,5,10
443,22,20.13636364,4.036117381,74,187,0,0,9,34,169,350,406,92,35,22,82,0,544,77.87,9.8,7,8.36,8.8,6.02,8.3,13.16932039,38,1.312,19.643,1.045,5.424757282,4,4,8
606,39,15.53846154,4.04290429,119,245,3,7,23,20,234,513,580,129,44,33,107,0,762,74.59,9.7,6.2,9.62,7.7,6.84,7,13.84301318,85,2.189,29.236,7.572,5.734082397,4,5,9
467,19,24.57894737,3.672376874,65,162,0,1,7,16,170,364,421,131,21,18,98,0,558,67.69,12.2,8.9,9.52,10.5,6.36,7.5,14.50108527,42,0.572,15.267,3.161,5.677002584,5,4,9
379,16,23.6875,3.765171504,46,167,0,2,12,15,175,342,370,85,25,28,54,0,456,75.13,10.1,8.1,7.43,9.4,6.68,7.333333333,15.57457726,43,0.487,13.366,2.147,5.282798834,4,4,8
421,21,20.04761905,3.909738717,62,177,0,1,16,19,178,365,404,94,23,20,84,0,523,70.02,10.8,8,8.12,8.5,6.86,6.666666667,15.11926509,56,0,16.185,4.815,5.430809399,4,4,8
139,5,27.8,3.755395683,11,50,0,0,5,8,76,126,135,30,13,7,29,0,159,71.28,7.6,9.6,7.67,11.2,6.14,12.375,15.25460317,10,0,4.299,0.701,5.285714286,2,2,4
368,20,18.4,3.752717391,51,150,0,0,8,21,160,311,352,75,24,15,75,0,439,80.01,8.8,6.2,7.13,6.9,6.03,7,12.62791541,33,0.35,17.366,2.284,5.277945619,4,4,8
355,15,23.66666667,3.712676056,40,160,0,1,4,21,162,316,344,98,15,13,64,0,416,75.13,10.4,8.1,7.14,9.1,6.22,5.714285714,14.42292835,31,0.491,12.787,1.721,5.224299065,4,4,8
423,25,16.92,4.002364066,80,153,0,1,24,10,203,380,413,105,34,15,75,0,550,65.73,11,7.6,10.14,8.3,7.68,4.444444444,16.08484848,77,0.087,19.685,5.228,5.852054795,5,5,10
539,24,22.45833333,3.649350649,61,242,0,1,27,24,195,427,497,94,39,39,98,0,610,77.16,9.9,7.3,7.95,8.8,6.36,10.3,14.22351931,52,0.804,20.224,2.972,5.346153846,5,5,10
431,37,11.64864865,3.626450116,56,158,0,4,13,32,188,366,413,103,28,10,76,0,502,78.45,8.3,4.8,7.28,4.6,6.21,2.769230769,11.2092562,48,2.34,31.566,3.094,5.495890411,4,5,9
350,28,12.5,4.131428571,61,133,0,0,6,29,181,316,340,78,31,19,71,0,447,77.03,9.3,5.3,8.97,6.4,6.97,4.333333333,13.50875399,55,1.821,22.558,3.621,5.757188498,4,4,8
391,21,18.61904762,4.245524297,78,137,0,0,21,13,187,340,377,96,43,15,70,0,532,63.09,12.1,8.6,10.79,9.9,7.32,7.583333333,15.88137931,63,0.676,17.144,3.18,5.913793103,4,4,8
246,11,22.36363636,4.008130081,49,87,0,1,1,17,145,231,243,54,15,14,53,0,314,58.11,11,10.5,10.1,11.6,7.86,12.5,18.6,43,0.384,9.066,1.55,5.809302326,3,3,6
541,30,18.03333333,4.133086876,95,217,0,2,12,27,233,455,499,122,38,32,108,0,700,71.85,11.1,7.3,9.45,8.7,6.54,8.2,13.82612245,65,3.306,23.36,3.334,5.702040816,6,5,11
367,23,15.95652174,3.809264305,60,155,1,0,21,9,150,314,353,91,23,18,63,0,449,74.19,10.3,6.4,8,6.6,6.29,5.642857143,12.55356037,40,0.308,18.999,3.693,5.479876161,4,4,8
284,15,18.93333333,3.883802817,38,115,0,0,4,28,140,247,269,62,20,14,68,0,356,71.24,10.5,7.5,8.12,7.9,6.46,5.714285714,13.79937008,32,1.337,12.471,1.192,5.452755906,4,4,8
481,31,15.51612903,3.856548857,72,212,1,0,8,29,186,397,459,104,27,23,95,0,605,73.98,9.9,6.5,7.07,5.9,6.1,5.25,12.12444444,49,0.382,24.499,6.118,5.285393258,4,5,9
593,30,19.76666667,3.870151771,98,243,0,2,11,34,237,522,576,141,37,22,100,0,712,70.73,10.1,7.7,8.7,8.6,6.8,8,14.79493282,76,1.276,26.059,2.665,5.531669866,5,5,10
336,15,22.4,3.651785714,23,149,0,0,3,19,155,296,324,56,18,22,77,2,374,84.71,8.4,6.5,6.62,8.1,6.1,6.071428571,13.80421053,28,1.299,12.238,1.462,5.134868421,4,4,8
271,17,15.94117647,3.380073801,33,89,4,4,4,13,128,216,244,70,28,4,51,0,294,82.85,8.1,5.1,5.73,4.6,5.87,5,11.45162393,23,1.264,13.274,2.462,5.059322034,3,4,7
146,11,13.27272727,3.493150685,15,66,0,1,0,12,75,135,143,31,3,5,28,0,164,85.08,9.3,4.3,5.32,3.7,5.82,5.1875,10.7025,13,0.048,9.654,1.298,5.1328125,3,3,6
330,11,30,3.936363636,44,126,0,0,1,22,155,282,319,100,30,24,57,0,403,61.19,11,11.4,9.23,13.3,6.68,8.9,17.05898305,32,1.114,8.725,1.162,5.53220339,4,4,8
251,18,13.94444444,3.87250996,28,114,0,0,1,9,129,225,242,46,13,20,52,0,308,83.86,9.2,4.7,6.89,5.3,6.06,4.9375,11.64173913,26,0.26,15.124,2.617,5.356521739,3,3,6
534,29,18.4137931,3.95505618,101,211,10,4,23,35,242,476,516,127,34,29,88,0,680,71.95,11.3,7.2,9.16,8.4,7.49,5.928571429,16.20823779,91,0.581,25.204,3.216,5.625,5,5,10
417,27,15.44444444,3.736211031,50,186,1,1,3,15,162,328,384,87,21,13,80,0,484,82.34,9.7,5.3,7.18,6.1,5.45,5.571428571,10.5232345,26,1.58,24.012,1.407,5.331536388,4,4,8
